"year","dataset_a","label_a","dataset_b","label_b","n_overlap","n_a","n_b","pct_of_a","pct_of_b"
"2003","VOCWB","VOCs – Blood (full panel, all cycles)","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]",980,1489,2612,65.8,37.5
"2003","VOCWB","VOCs – Blood (full panel, all cycles)","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",980,1489,2612,65.8,37.5
"2003","VOCWB","VOCs – Blood (full panel, all cycles)","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)",258,1489,2697,17.3,9.6
"2003","VOCWB","VOCs – Blood (full panel, all cycles)","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",258,1489,2697,17.3,9.6
"2003","UHG","Mercury: Inorganic – Urine (all cycles)","VOCWB","VOCs – Blood (full panel, all cycles)",251,2673,1489,9.4,16.9
"2003","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","VOCWB","VOCs – Blood (full panel, all cycles)",251,2368,1489,10.6,16.9
"2003","UHG","Mercury: Inorganic – Urine (all cycles)","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)",0,2673,2697,0,0
"2003","UHG","Mercury: Inorganic – Urine (all cycles)","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine",0,2673,2612,0,0
"2003","UHG","Mercury: Inorganic – Urine (all cycles)","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]",0,2673,2612,0,0
"2003","UHG","Mercury: Inorganic – Urine (all cycles)","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",0,2673,2612,0,0
"2003","UHG","Mercury: Inorganic – Urine (all cycles)","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",0,2673,2697,0,0
"2003","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)",0,2368,2697,0,0
"2003","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine",0,2368,2612,0,0
"2003","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]",0,2368,2612,0,0
"2003","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",0,2368,2612,0,0
"2003","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",0,2368,2697,0,0
"2003","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine",0,2697,2612,0,0
"2003","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]",0,2697,2612,0,0
"2003","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",0,2697,2612,0,0
"2003","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",0,2612,2697,0,0
"2003","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",0,2612,2697,0,0
"2003","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",0,2612,2697,0,0
"2005","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)",9440,9440,9440,100,100
"2005","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","IHG","Mercury: Inorganic – Blood (2005 only)",9440,9440,9440,100,100
"2005","IHG","Mercury: Inorganic – Blood (2005 only)","IHG","Mercury: Inorganic – Blood (2005 only)",9440,9440,9440,100,100
"2005","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",8086,9440,8086,85.7,100
"2005","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",8086,9440,8086,85.7,100
"2005","IHG","Mercury: Inorganic – Blood (2005 only)","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",8086,9440,8086,85.7,100
"2005","IHG","Mercury: Inorganic – Blood (2005 only)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",8086,9440,8086,85.7,100
"2005","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",8086,8086,8086,100,100
"2005","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",8086,8086,8086,100,100
"2005","ALB_CR","Albumin & Creatinine – Urine (all cycles)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",8086,8086,8086,100,100
"2005","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","VOCWB","VOCs – Blood (full panel, all cycles)",3545,9440,3545,37.6,100
"2005","IHG","Mercury: Inorganic – Blood (2005 only)","VOCWB","VOCs – Blood (full panel, all cycles)",3545,9440,3545,37.6,100
"2005","VOCWB","VOCs – Blood (full panel, all cycles)","VOCWB","VOCs – Blood (full panel, all cycles)",3545,3545,3545,100,100
"2005","VOCWB","VOCs – Blood (full panel, all cycles)","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",3545,3545,8086,100,43.8
"2005","VOCWB","VOCs – Blood (full panel, all cycles)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",3545,3545,8086,100,43.8
"2005","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine",2756,9440,2756,29.2,100
"2005","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",2756,9440,2756,29.2,100
"2005","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","CARB","Pesticides – Carbamates & OP Metabolites – Urine (2005-2007)",2756,9440,2756,29.2,100
"2005","IHG","Mercury: Inorganic – Blood (2005 only)","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine",2756,9440,2756,29.2,100
"2005","IHG","Mercury: Inorganic – Blood (2005 only)","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",2756,9440,2756,29.2,100
"2005","IHG","Mercury: Inorganic – Blood (2005 only)","CARB","Pesticides – Carbamates & OP Metabolites – Urine (2005-2007)",2756,9440,2756,29.2,100
"2005","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine",2756,8086,2756,34.1,100
"2005","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",2756,8086,2756,34.1,100
"2005","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)","CARB","Pesticides – Carbamates & OP Metabolites – Urine (2005-2007)",2756,8086,2756,34.1,100
"2005","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine",2756,2756,2756,100,100
"2005","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",2756,2756,2756,100,100
"2005","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine","CARB","Pesticides – Carbamates & OP Metabolites – Urine (2005-2007)",2756,2756,2756,100,100
"2005","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine","ALB_CR","Albumin & Creatinine – Urine (all cycles)",2756,2756,8086,100,34.1
"2005","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",2756,2756,2756,100,100
"2005","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]","CARB","Pesticides – Carbamates & OP Metabolites – Urine (2005-2007)",2756,2756,2756,100,100
"2005","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]","ALB_CR","Albumin & Creatinine – Urine (all cycles)",2756,2756,8086,100,34.1
"2005","CARB","Pesticides – Carbamates & OP Metabolites – Urine (2005-2007)","CARB","Pesticides – Carbamates & OP Metabolites – Urine (2005-2007)",2756,2756,2756,100,100
"2005","CARB","Pesticides – Carbamates & OP Metabolites – Urine (2005-2007)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",2756,2756,8086,100,34.1
"2005","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","UHG","Mercury: Inorganic – Urine (all cycles)",2692,9440,2692,28.5,100
"2005","IHG","Mercury: Inorganic – Blood (2005 only)","UHG","Mercury: Inorganic – Urine (all cycles)",2692,9440,2692,28.5,100
"2005","UHG","Mercury: Inorganic – Urine (all cycles)","UHG","Mercury: Inorganic – Urine (all cycles)",2692,2692,2692,100,100
"2005","UHG","Mercury: Inorganic – Urine (all cycles)","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",2692,2692,8086,100,33.3
"2005","UHG","Mercury: Inorganic – Urine (all cycles)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",2692,2692,8086,100,33.3
"2005","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)",2638,9440,2638,27.9,100
"2005","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]",2638,9440,2638,27.9,100
"2005","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",2638,9440,2638,27.9,100
"2005","IHG","Mercury: Inorganic – Blood (2005 only)","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)",2638,9440,2638,27.9,100
"2005","IHG","Mercury: Inorganic – Blood (2005 only)","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]",2638,9440,2638,27.9,100
"2005","IHG","Mercury: Inorganic – Blood (2005 only)","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",2638,9440,2638,27.9,100
"2005","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)",2638,2638,2638,100,100
"2005","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",2638,2638,8086,100,32.6
"2005","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]",2638,2638,2638,100,100
"2005","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",2638,2638,2638,100,100
"2005","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",2638,2638,8086,100,32.6
"2005","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]",2638,8086,2638,32.6,100
"2005","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",2638,8086,2638,32.6,100
"2005","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]",2638,2638,2638,100,100
"2005","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",2638,2638,2638,100,100
"2005","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]","ALB_CR","Albumin & Creatinine – Urine (all cycles)",2638,2638,8086,100,32.6
"2005","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",2638,2638,2638,100,100
"2005","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",2638,2638,8086,100,32.6
"2005","VOCWB","VOCs – Blood (full panel, all cycles)","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine",2389,3545,2756,67.4,86.7
"2005","VOCWB","VOCs – Blood (full panel, all cycles)","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",2389,3545,2756,67.4,86.7
"2005","VOCWB","VOCs – Blood (full panel, all cycles)","CARB","Pesticides – Carbamates & OP Metabolites – Urine (2005-2007)",2389,3545,2756,67.4,86.7
"2005","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)",2323,9440,2323,24.6,100
"2005","IHG","Mercury: Inorganic – Blood (2005 only)","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)",2323,9440,2323,24.6,100
"2005","UHG","Mercury: Inorganic – Urine (all cycles)","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)",2323,2692,2323,86.3,100
"2005","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)",2323,2323,2323,100,100
"2005","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",2323,2323,8086,100,28.7
"2005","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",2323,2323,8086,100,28.7
"2005","VOCWB","VOCs – Blood (full panel, all cycles)","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)",586,3545,2638,16.5,22.2
"2005","VOCWB","VOCs – Blood (full panel, all cycles)","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]",586,3545,2638,16.5,22.2
"2005","VOCWB","VOCs – Blood (full panel, all cycles)","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",586,3545,2638,16.5,22.2
"2005","UHG","Mercury: Inorganic – Urine (all cycles)","VOCWB","VOCs – Blood (full panel, all cycles)",570,2692,3545,21.2,16.1
"2005","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","VOCWB","VOCs – Blood (full panel, all cycles)",570,2323,3545,24.5,16.1
"2005","UHG","Mercury: Inorganic – Urine (all cycles)","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)",0,2692,2638,0,0
"2005","UHG","Mercury: Inorganic – Urine (all cycles)","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine",0,2692,2756,0,0
"2005","UHG","Mercury: Inorganic – Urine (all cycles)","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]",0,2692,2638,0,0
"2005","UHG","Mercury: Inorganic – Urine (all cycles)","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",0,2692,2756,0,0
"2005","UHG","Mercury: Inorganic – Urine (all cycles)","CARB","Pesticides – Carbamates & OP Metabolites – Urine (2005-2007)",0,2692,2756,0,0
"2005","UHG","Mercury: Inorganic – Urine (all cycles)","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",0,2692,2638,0,0
"2005","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)",0,2323,2638,0,0
"2005","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine",0,2323,2756,0,0
"2005","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]",0,2323,2638,0,0
"2005","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",0,2323,2756,0,0
"2005","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","CARB","Pesticides – Carbamates & OP Metabolites – Urine (2005-2007)",0,2323,2756,0,0
"2005","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",0,2323,2638,0,0
"2005","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine",0,2638,2756,0,0
"2005","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",0,2638,2756,0,0
"2005","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)","CARB","Pesticides – Carbamates & OP Metabolites – Urine (2005-2007)",0,2638,2756,0,0
"2005","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]",0,2756,2638,0,0
"2005","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",0,2756,2638,0,0
"2005","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",0,2638,2756,0,0
"2005","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]","CARB","Pesticides – Carbamates & OP Metabolites – Urine (2005-2007)",0,2638,2756,0,0
"2005","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",0,2756,2638,0,0
"2005","CARB","Pesticides – Carbamates & OP Metabolites – Urine (2005-2007)","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",0,2756,2638,0,0
"2007","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)",9307,9307,9307,100,100
"2007","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)",9307,9307,9307,100,100
"2007","IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)","IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)",9307,9307,9307,100,100
"2007","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",8132,9307,8132,87.4,100
"2007","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",8132,9307,8132,87.4,100
"2007","IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",8132,9307,8132,87.4,100
"2007","IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",8132,9307,8132,87.4,100
"2007","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",8132,8132,8132,100,100
"2007","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",8132,8132,8132,100,100
"2007","ALB_CR","Albumin & Creatinine – Urine (all cycles)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",8132,8132,8132,100,100
"2007","PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","VOCWB","VOCs – Blood (full panel, all cycles)",3415,9307,3415,36.7,100
